sample_id,fastq_1
EXP001_LPRS,/dartfs-hpc/rc/lab/G/GSR_Active/Labs/Hong/250515_RNAseq/210274_001_S1_R1_001.fastq.gz
EXP001_LTA,/dartfs-hpc/rc/lab/G/GSR_Active/Labs/Hong/250515_RNAseq/210274_002_S2_R1_001.fastq.gz
EXP001_RTHA,/dartfs-hpc/rc/lab/G/GSR_Active/Labs/Hong/250515_RNAseq/210274_003_S3_R1_001.fastq.gz
EXP001_LTHA,/dartfs-hpc/rc/lab/G/GSR_Active/Labs/Hong/250515_RNAseq/210274_004_S4_R1_001.fastq.gz
EXP001_LIA,/dartfs-hpc/rc/lab/G/GSR_Active/Labs/Hong/250515_RNAseq/210274_005_S5_R1_001.fastq.gz
EXP001_LFDA,/dartfs-hpc/rc/lab/G/GSR_Active/Labs/Hong/250515_RNAseq/210274_006_S6_R1_001.fastq.gz
EXP001_LTHB,/dartfs-hpc/rc/lab/G/GSR_Active/Labs/Hong/250515_RNAseq/210274_007_S7_R1_001.fastq.gz
EXP001_LPAG,/dartfs-hpc/rc/lab/G/GSR_Active/Labs/Hong/250515_RNAseq/210274_008_S8_R1_001.fastq.gz
EXP001_LFCA,/dartfs-hpc/rc/lab/G/GSR_Active/Labs/Hong/250515_RNAseq/210274_009_S9_R1_001.fastq.gz
EXP001_LTX,/dartfs-hpc/rc/lab/G/GSR_Active/Labs/Hong/250515_RNAseq/210274_010_S10_R1_001.fastq.gz
EXP002_Frontal_lobe,/dartfs-hpc/rc/lab/G/GSR_Active/Labs/Hong/250515_RNAseq/210274_011_S11_R1_001.fastq.gz
EXP003_RTHA,/dartfs-hpc/rc/lab/G/GSR_Active/Labs/Hong/250701_RNAseq/215324_001_S121_R1_001.fastq.gz
EXP003_RTP,/dartfs-hpc/rc/lab/G/GSR_Active/Labs/Hong/250701_RNAseq/215324_002_S122_R1_001.fastq.gz
